,PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr,ListsPlanetIsOn,Luminosity_of_Host_Star,Runaway_Greenhouse_S_eff,Maximum_Greenhouse_S_eff,Runaway_Greenhouse,Maximum_Greenhouse,IsInHabitableZone
0,HD 143761 b,0.0,1.045,,39.8458,0.2196,0.037,270.6,,,,,,RV,2016.0,16/07/11,16 01 03,+33 18 13,17.236,0.889,1.362,-0.31,5627.0,,Confirmed planets,1.6434250464856919,1.1665036277206564,0.3466092668656819,1.1869485763574334,2.177483465362173,False
1,HD 143761 c,0.0,0.079,,102.54,0.4123,0.05,190.0,,,,,,RV,2016.0,16/07/11,16 01 03,+33 18 13,17.236,0.889,1.362,-0.31,5627.0,,Confirmed planets,1.6434250464856919,1.1665036277206564,0.3466092668656819,1.1869485763574334,2.177483465362173,False
2,KOI-1843.03,0.0,0.0014,0.054,0.1768913,0.0048,,,,,72.0,,,transit,2012.0,13/07/15,19 00 03.14,+40 13 14.7,,0.46,0.45,0.0,3584.0,,Controversial,0.029524670346488036,0.870458122686051,0.24957515346916925,0.1841698725251055,0.3439472609072497,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Kepler-9 b,0.0,0.25,0.84,19.22418,0.143,0.0626,,,,87.1,707.2,,transit,2010.0,15/12/03,19 02 17,+38 24 03,650.0,1.07,1.02,0.12,5777.0,,Confirmed planets,1.0239950079733204,1.187570253856577,0.35581488536830086,0.9285798691233806,1.696433591285405,False
6,Kepler-9 c,0.0,0.17,0.82,39.03106,0.229,0.0684,,,,87.2,557.9,,transit,2010.0,15/12/03,19 02 17,+38 24 03,650.0,1.07,1.02,0.12,5777.0,,Confirmed planets,1.0239950079733204,1.187570253856577,0.35581488536830086,0.9285798691233806,1.696433591285405,False
7,Kepler-9 d,0.0,0.022,0.147,1.592851,0.0271,,,,,,1601.5,,transit,2010.0,14/03/10,19 02 17,+38 24 03,650.0,1.07,1.02,0.12,5777.0,,Confirmed planets,1.0239950079733204,1.187570253856577,0.35581488536830086,0.9285798691233806,1.696433591285405,
8,GJ 160.2 b,0.0,0.0321,,5.2354,0.053,0.06,350.0,,,,,,RV,2014.0,15/04/21,04 06 34.84136,-20 51 11.2391,43.25,0.69,,,4347.0,,Controversial,,1.0336286829409418,0.278116112662661,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WASP-124 b,0.0,0.6,1.24,3.37265,0.0449,,,,,86.3,1400.0,,transit,2016.0,16/02/04,22 10 51.43,-30 44 58.8,433.0,1.07,,-0.02,6050.0,,Confirmed planets,,1.2277590299355599,0.372719575182425,,,
11,HD 240210 b,0.0,5.21,,501.75,1.33,0.15,277.59,,,,,,RV,2009.0,15/11/26,23 10 29.2303,+57 01 46.035,143.0,0.82,,-0.18,4297.0,,Confirmed planets,,1.03033838160172,0.275952329310398,,,
12,OGLE-05-390L b,0.0,0.017,,3500.0,2.1,,,,,,,,microlensing,2005.0,06/04/12,17 54 19,-30 22 38,6500.0,0.22,,,3840.0,,Confirmed planets,,1.0060404713753597,0.25812620696679994,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
