,AgeGyr,AscendingNodeDeg,Declination,DiscoveryMethod,DiscoveryYear,DistFromSunParsec,Eccentricity,HostStarAgeGyr,HostStarMassSlrMass,HostStarMetallicity,Host_Star_Radius_Solar,Host_Star_Temperature_Kelvin,InclinationDeg,IsInHabitableZone,Is_In_Habitable_Zone,LastUpdated,ListsPlanetIsOn,LongitudeDeg,Luminosity_of_Host_Star,Maximum_Greenhouse,Maximum_Greenhouse_S_eff,PeriastronDeg,PeriodDays,PlanetIdentifier,Planetary_Mass_Jupiter,RadiusJpt,RightAscension,Runaway_Greenhouse,Runaway_Greenhouse_S_eff,Semi_Major_Axis_AU},SurfaceTempK,TypeFlag
0,,,+33 18 13,RV,2016.0,17.236,0.037,,0.889,-0.31,1.362,5627.0,,False,,16/07/11,Confirmed planets,,1.6434250464856919,2.177483465362173,0.3466092668656819,270.6,39.8458,HD 143761 b,1.045,,16 01 03,1.1869485763574334,1.1665036277206564,0.2196,,0.0
1,,,+33 18 13,RV,2016.0,17.236,0.05,,0.889,-0.31,1.362,5627.0,,False,,16/07/11,Confirmed planets,,1.6434250464856919,2.177483465362173,0.3466092668656819,190.0,102.54,HD 143761 c,0.079,,16 01 03,1.1869485763574334,1.1665036277206564,0.4123,,0.0
2,,,+40 13 14.7,transit,2012.0,,,,0.46,0.0,0.45,3584.0,72.0,,,13/07/15,Controversial,,0.029524670346488036,0.3439472609072497,0.24957515346916925,,0.1768913,KOI-1843.03,0.0014,0.054,19 00 03.14,0.1841698725251055,0.870458122686051,0.0048,,0.0
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,+38 24 03,transit,2010.0,650.0,0.0626,,1.07,0.12,1.02,5777.0,87.1,False,,15/12/03,Confirmed planets,,1.0239950079733204,1.696433591285405,0.35581488536830086,,19.22418,Kepler-9 b,0.25,0.84,19 02 17,0.9285798691233806,1.187570253856577,0.143,707.2,0.0
6,,,+38 24 03,transit,2010.0,650.0,0.0684,,1.07,0.12,1.02,5777.0,87.2,False,,15/12/03,Confirmed planets,,1.0239950079733204,1.696433591285405,0.35581488536830086,,39.03106,Kepler-9 c,0.17,0.82,19 02 17,0.9285798691233806,1.187570253856577,0.229,557.9,0.0
7,,,+38 24 03,transit,2010.0,650.0,,,1.07,0.12,1.02,5777.0,,,,14/03/10,Confirmed planets,,1.0239950079733204,1.696433591285405,0.35581488536830086,,1.592851,Kepler-9 d,0.022,0.147,19 02 17,0.9285798691233806,1.187570253856577,0.0271,1601.5,0.0
8,,,-20 51 11.2391,RV,2014.0,43.25,0.06,,0.69,,,4347.0,,,,15/04/21,Controversial,,,,0.278116112662661,350.0,5.2354,GJ 160.2 b,0.0321,,04 06 34.84136,,1.0336286829409418,0.053,,0.0
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,-30 44 58.8,transit,2016.0,433.0,,,1.07,-0.02,,6050.0,86.3,,,16/02/04,Confirmed planets,,,,0.372719575182425,,3.37265,WASP-124 b,0.6,1.24,22 10 51.43,,1.2277590299355599,0.0449,1400.0,0.0
11,,,+57 01 46.035,RV,2009.0,143.0,0.15,,0.82,-0.18,,4297.0,,,,15/11/26,Confirmed planets,,,,0.275952329310398,277.59,501.75,HD 240210 b,5.21,,23 10 29.2303,,1.03033838160172,1.33,,0.0
12,,,-30 22 38,microlensing,2005.0,6500.0,,,0.22,,,3840.0,,,,06/04/12,Confirmed planets,,,,0.25812620696679994,,3500.0,OGLE-05-390L b,0.017,,17 54 19,,1.0060404713753597,2.1,,0.0
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,+01 53 38,transit,2013.0,200.0,,,1.63,0.12,2.18,6490.0,87.9,,,13/10/22,Confirmed planets,,7.450403606226807,4.319114146723112,0.39938379230042503,,2.705782,WASP-82 b,1.24,1.67,04 50 39,2.3987579644572588,1.29481267098996,0.0447,2190.0,0.0
16,,,+04 57 49.7,transit,2009.0,14.55,0.0,,0.176,0.1,0.2213,3250.0,88.47,False,,10/12/07,Confirmed planets,,0.004828189391929764,0.14192767799758602,0.23969010319442494,,1.58040417,Gliese 1214 b,0.0195,0.2525,17 15 18.94,0.07000055135615171,0.9853292518779598,0.01488,604.0,0.0
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,+20 26 56,RV,2001.0,77.82,0.52,,1.13,0.453,1.33,5702.0,,False,,14/03/11,Confirmed planets,,1.6523428274191407,2.169071090136088,0.3511984476134023,,437.05,HD 4203 b,1.82,,00 44 41,1.1848808934414419,1.1769303620283194,1.1735,263.9,0.0
20,,,+20 26 56,RV,2014.0,77.82,0.24,,1.13,0.453,1.33,5702.0,,False,,14/03/11,Confirmed planets,,1.6523428274191407,2.169071090136088,0.3511984476134023,,6700.0,HD 4203 c,2.17,,00 44 41,1.1848808934414419,1.1769303620283194,6.95,,0.0
21,,,-02 38 18,RV,2009.0,63.69,0.115,,1.087,0.29,1.48,5724.0,,False,,09/08/13,Confirmed planets,,2.0778297344970924,2.4276973506280353,0.3525501210652364,,14.476,HD 179079 b,0.08,,19 11 10,1.326961797574552,1.1800301858480784,0.11,925.0,0.0
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,+34 25 10.3,RV,1998.0,48.3,0.0093,,1.037,0.121,1.143,5815.0,,False,,15/08/15,Confirmed planets,,1.3200165089473466,1.9197737726763486,0.35816179209915155,360.0,3.0965886,HD 187123 b,0.5074,,19 46 58.1,1.0518720089039693,1.1930360475584476,0.04213,,0.0
24,,,+34 25 10.3,RV,2007.0,48.3,0.28,,1.037,0.121,1.143,5815.0,,False,,15/08/15,Confirmed planets,,1.3200165089473466,1.9197737726763486,0.35816179209915155,258.5,3324.0,HD 187123 c,1.818,,19 46 58.1,1.0518720089039693,1.1930360475584476,4.417,,0.0
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,+40 56 32,transit,2014.0,226.3,,3.66,1.02,0.12,1.03,5685.0,,,,14/02/24,Confirmed planets,,0.9792291906883572,1.6722902414611034,0.35015557092652655,,16.092,Kepler-131 b,0.05074,0.219624,19 14 07,0.9130758727859775,1.1745475872421476,,,0.0
31,,,+40 56 32,transit,2014.0,226.3,,3.66,1.02,0.12,1.03,5685.0,,,,14/02/24,Confirmed planets,,0.9792291906883572,1.6722902414611034,0.35015557092652655,,25.5169,Kepler-131 c,0.025952,0.076549,19 14 07,0.9130758727859775,1.1745475872421476,,,0.0
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,-03 43 10,transit,2014.0,600.0,0.0,11.0,0.91,0.3,0.86,4950.0,89.0,False,,14/06/08,Confirmed planets,,0.3923789710370595,1.1295880783914505,0.307514446886425,,11.759,CoRoT-24 c,0.088,0.44,06 47 41,0.6014664167970535,1.0846333588163601,0.098,850.0,0.0
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,+29 34 18.9202,RV,2015.0,28.93,0.088,,0.99,-0.04,,5790.0,,,,15/06/29,Confirmed planets,,,,0.356617266596425,,40.0,HD 164595 b,0.051,,18 00 38.89431,,1.18943469858116,0.23,,0.0
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,-49 38 22.8,transit,2014.0,220.0,,6.4,1.167,0.05,1.215,6000.0,88.49,,,14/10/14,Confirmed planets,,1.6906183680884974,2.1386675657540817,0.36962302491879995,,2.6755463,WASP-108 b,0.892,1.284,13 03 18.73,1.1770556068138103,1.22025788420096,0.0397,1590.0,0.0
52,,,+22 14 09,transit,2016.0,377.0,0.0,,1.281,0.24,1.526,6132.0,82.06,False,,16/06/07,Confirmed planets,,2.9094150276602915,2.7751144720653875,0.377784271902638,,2.995607,K2-34 b,1.78,1.35,08 30 19,1.5316666757790176,1.2401583751738818,0.04419,,0.0
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,-03 33 11.2,,2016.0,,0.03,1.9,1.18,0.07,1.45,6557.0,,,True,17/02/20,Confirmed planets,,3.4343516778277365,2.9182614322666875,0.4032704257979826,,825.9,38 Vir b,4.51,,12 53 11.16,1.6222782049294135,1.3049506793255268,1.82,,0.0
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,+48 21 18.84,transit,2014.0,990.44,0.086,5.9,1.17,,1.56,5667.0,85.82,False,,15/01/27,Confirmed planets,,2.217941428129146,2.5207476118919074,0.3490529752477023,231.0,3.4876812,Kepler-101 b,0.161,0.515,18 53 01.32,1.3756387608093865,1.1720368444883056,0.0474,,0.0
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,-12 23 03,RV,2012.0,111.0,0.27,,0.83,-1.9,1.6,6040.0,,False,,13/02/14,Controversial,,3.010757282743352,2.844511347556839,0.3721006291108,,290.0,HIP 11952 b,2.93,,02 34 11,1.5669224813911218,1.22625480537216,0.81,372.6,0.0
69,,,-12 23 03,RV,2012.0,111.0,0.35,,0.83,-1.9,1.6,6040.0,,False,,13/02/14,Controversial,,3.010757282743352,2.844511347556839,0.3721006291108,,6.95,HIP 11952 c,0.78,,02 34 11,1.5669224813911218,1.22625480537216,0.07,1263.2,0.0
70,,,-27 25 47,RV,2003.0,135.0,0.68,,1.68,-0.09,22.9,4300.0,,False,,15/05/24,Controversial,,158.4283184839194,23.955111025570737,0.2760809474368,,344.95,HD 122430 b,3.71,,14 02 22,12.398971764131517,1.03053197331456,1.02,868.8,0.0
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,-50 49 25.4179,RV,2000.0,10.783,0.0416,2.5,0.8,-0.24,0.855,5188.0,,False,,16/02/03,"Confirmed planets, Planets in binary systems, S-type",,0.4679722758371402,1.208061823403716,0.32065779697819646,269.0,15.76491,Gliese 86 b,3.91,,02 10 25.93425,0.6491190287977395,1.110635225577947,0.113,,2.0
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,-27 04 41.4286,RV,2008.0,55.0,0.307,1.3,1.12,0.12,1.14,6046.0,,False,,15/11/17,Confirmed planets,,1.5345120381302446,2.0297302356187137,0.37247202274856067,138.1,103.95,HD 145377 b,5.76,,16 11 36.44543,1.1182401092366097,1.227157111994151,0.45,,0.0
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,+33 57 03.1843,RV,2012.0,56.4,0.19,,1.55,0.06,5.5,4854.0,,False,,15/11/02,Confirmed planets,,14.839268491296814,7.0046309894451,0.30244190879765187,269.0,792.6,HD 5608 b,1.4,,00 58 14.21893,3.7152360769390196,1.0750772261440875,1.9,,0.0
87,,,-49 51 41,transit,2016.0,521.0,0.101,6.2,0.929,0.01,0.922,5498.0,86.17,False,,16/07/28,Confirmed planets,,0.6863866213158055,1.4233511638885314,0.33880100369094784,,3.1810781,HATS-28 b,0.672,1.194,18 57 36,0.7728608890432453,1.1491220269249196,0.04131,,0.0
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,+61 27 38,RV,2001.0,58.0,0.14,,1.2,0.24,1.14,5767.0,,False,,10/12/30,Confirmed planets,,1.2702743657178812,1.891095547261138,0.3551980639720832,,6.276,HD 68988 b,1.9,,08 18 22,1.0348580695905032,1.186140003220885,0.071,1017.7,0.0
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,+08 21 28.9,RV,2004.0,55.1,0.3728,,1.121,0.302,1.117,5936.0,,,True,15/08/15,Confirmed planets,,1.3688943817798427,1.9348568940784792,0.3656556114153325,232.9,625.1,HD 183263 b,3.635,,19 28 24.6,1.0633103604305536,1.2107370989884048,1.486,,0.0
92,,,+08 21 28.9,RV,2008.0,55.1,0.051,,1.121,0.302,1.117,5936.0,,False,,15/08/15,Confirmed planets,,1.3688943817798427,1.9348568940784792,0.3656556114153325,299.0,4684.0,HD 183263 c,6.9,,19 28 24.6,1.0633103604305536,1.2107370989884048,5.69,,0.0
93,,,-56 26 57,RV,2008.0,65.8,0.61,,1.06,0.26,1.27,5714.0,,False,,09/05/20,Confirmed planets,,1.519345038034426,2.077766315844003,0.35193544532179266,,163.91,HD 154672 b,5.02,,17 10 05,1.1353806791961345,1.1786189317680578,0.6,357.1,0.0
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,+74 09 19.8142,RV,2014.0,40.14,0.19,2.95,1.4,-0.27,38.3,4126.0,,False,,15/11/26,Confirmed planets,,375.6664996409009,37.37885437037188,0.2688750444810663,307.4,522.3,beta Ursae Minoris b,6.1,,14 50 42.32580,19.190371888029958,1.0200834141930168,1.4,,0.0
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,-29 52 34,transit,2004.0,1500.0,0.0,,1.277,0.28,1.52,6075.0,84.5,False,,10/06/24,Confirmed planets,,2.780739658196759,2.7257752124438337,0.37426589605177646,,3.10129,OGLE-TR-10 b,0.68,1.72,17 51 28,1.502650859523767,1.2315276372820476,0.04516,1702.0,0.0
104,,,+43 58 48.64,transit,2013.0,368.14,,4.2,1.17,,1.55,6090.0,,,,16/01/13,Confirmed planets,,2.920253765625001,2.7898638865843797,0.375192857552425,,15.09,Kepler-128 b,0.00409,0.10298,18 49 58.128,1.5938494604478284,1.14954504318149,,,0.0
105,,,+43 58 48.64,transit,2013.0,368.14,,4.2,1.17,,1.55,6090.0,,,,16/01/13,Confirmed planets,,2.920253765625001,2.7898638865843797,0.375192857552425,,22.804,Kepler-128 c,0.00472,0.10298,18 49 58.128,1.5938494604478284,1.14954504318149,,,0.0
106,,,+30 40 25,transit,2008.0,121.7,0.0,,0.82,0.13,0.81,4974.0,88.5,False,,08/11/27,"Confirmed planets, Planets in binary systems, S-type",,0.35487972443727284,1.072010674371464,0.30880403587110145,,3.722469,WASP-11 b,0.46,1.045,03 09 29,0.5713528544264884,1.0871072307538463,0.0439,943.2,2.0
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,-29 50 38,transit,2016.0,645.0,0.166,4.2,1.037,0.28,1.02,5600.0,85.5,False,,16/06/06,Confirmed planets,,0.9041499805593535,1.6189466780108999,0.3449652806948,,0.8378434,HATS-18 b,1.98,1.337,11 35 50,0.881792972266823,1.16280585743616,0.01761,,0.0
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,+31 39 40,transit,2016.0,365.0,,2.9,1.211,-0.002,1.36,6236.0,,,,16/08/03,Confirmed planets,,2.4716687605319647,2.5365063512783017,0.38416549991502846,,0.9689951,KELT-16 b,2.75,1.415,20 57 04,1.402810324391762,1.256007872403112,0.02044,,0.0
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,+00 36 23,,2017.0,107.3,0.3,4.0,1.07,-0.24,1.18,6290.0,88.4,False,,17/01/17,Confirmed planets,,1.9259926354120949,2.2295563885499137,0.38745181590642497,72.0,9.5521,HD 106315 b,0.025,0.199,12 13 53,1.2342631203173027,1.2642679171131601,0.09012,,0.0
116,,,+00 36 23,,2017.0,107.3,0.23,4.0,1.07,-0.24,1.18,6290.0,89.42,False,,17/01/17,Confirmed planets,,1.9259926354120949,2.2295563885499137,0.38745181590642497,106.0,21.0576,HD 106315 c,0.063,0.352,12 13 53,1.2342631203173027,1.2642679171131601,0.1526,,0.0
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,-63 59 18.3,transit,2011.0,160.0,0.0,,1.25,0.04,1.28,6230.0,88.3,False,,12/04/24,Confirmed planets,,2.1810225290426857,2.3838455774957694,0.383799066265625,,4.411953,WASP-62 b,0.57,1.39,05 48 33.59,1.3182339027744552,1.2550909502249998,0.0567,1305.2,0.0
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,+21 53 41,transit,2008.0,160.0,0.087,,1.211,,1.306,6462.0,84.79,False,,12/04/08,"Confirmed planets, Planets in binary systems, S-type",,2.6281018645309504,2.5705197796688606,0.39774093862656384,,2.2437661,WASP-14 b,7.341,1.281,14 33 06,1.427028883148017,1.2905554454790125,0.036,1718.8,2.0
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,+54 53 41,RV,2013.0,115.0,0.129,,2.5,0.0,12.02,4844.0,,False,,13/04/17,Confirmed planets,,70.29322987019712,15.258423551080913,0.3019215878033101,64.0,311.6,HD 2952 b,1.6,,00 33 10,8.089687174515001,1.0741131737433536,1.2,,0.0
132,,,-03 09 54,transit,2016.0,,,11.41,1.08,,1.39,5620.0,88.7,,,16/07/27,Confirmed planets,,1.7031891763703677,2.218088269559442,0.34618260244480004,,4.178062,WASP-127 b,0.18,1.37,10 42 14,1.208836252393969,1.16554202443776,0.052,,0.0
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,+48 17 09.2,transit,2014.0,870.0,0.535,3.5,1.353,-0.07,4.16,4850.0,88.9,False,,14/10/14,"Confirmed planets, Planets in binary systems, S-type",,8.461388607356906,5.291142430014266,0.302233594890425,,52.50097,KOI-1299 b,4.87,1.12,19 33 07.73,2.8059442400297736,1.07469089269716,0.3034,,2.0
139,,,+48 17 09.2,RV,2014.0,870.0,0.498,3.5,1.353,-0.07,4.16,4850.0,,,,15/02/03,"Controversial, Planets in binary systems, S-type",,8.461388607356906,5.291142430014266,0.302233594890425,60.8,406.2,KOI-1299 c,2.43,,19 33 07.73,2.8059442400297736,1.07469089269716,,,2.0
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
